Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 454835.60 3041026 T 461276.40 1046026 F
1 454835.60 3041026 T 3239674.80 0041026 F
1 454835.60 3041026 T 3670879.54 2046026 T
1 454835.60 3041026 T 4005266.25 1051036 F
1 454835.60 3041026 T 454084.00 3051026 F
1 454835.60 3041026 T 455825.20 3041036 T
1 454835.60 3041026 T 3247653.20 2051031 F
1 454835.60 3041026 T 3315746.20 2041036 F
1 454835.60 3041026 T 1660779.33 1046021 F
1 454835.60 3041026 T 460237.20 3026021 T
1 454835.60 3041026 T 452860.40 0051016 F
1 454835.60 3041026 T 3315746.20 2041036 F
1 454835.60 3041026 T 1649455.67 3051021 F
1 454835.60 3041026 T 2776775.33 2036021 F
1 454835.60 3041026 T 3253492.00 0031026 F
1 454835.60 3041026 T 1649455.67 3051021 F
1 454835.60 3041026 T 423983.20 3061016 T
1 454835.60 3041026 T 2391171.64 0036016 F
1 454835.60 3041026 T 3259796.40 0036026 F
1 454835.60 3041026 T 2788112.22 1046031 F
1 454835.60 3041026 T 454835.60 3041026 T
1 454835.60 3041026 T 2778602.00 2041016 F
1 454835.60 3041026 T 4668958.80 0031011 F
1 454835.60 3041026 T 3505176.14 0041031 F
1 454835.60 3041026 T 2821333.67 3041031 T
1 454835.60 3041026 T 2785810.22 0041021 F
1 454835.60 3041026 T 453551.60 1041016 F
1 454835.60 3041026 T 425092.40 3036021 F
1 454835.60 3041026 T 4675603.60 2046046 F
1 454835.60 3041026 T 453885.20 3031031 F
1 454835.60 3041026 T 456426.80 0046026 F
1 454835.60 3041026 T 2769126.67 3031021 T
1 454835.60 3041026 T 3239252.40 1051026 F
1 454835.60 3041026 T 2779610.22 2046021 F
1 454835.60 3041026 T 3251526.40 2026021 F
1 454835.60 3041026 T 4671915.20 2046031 F
1 454835.60 3041026 T 1856602.80 0056021 F
1 454835.60 3041026 T 456137.20 0061026 F
1 454835.60 3041026 T 457186.00 3046031 F
1 454835.60 3041026 T 3252540.80 2021031 F
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 456074.40 3046041 F
1 454835.60 3041026 T 1645286.67 3051016 T
1 454835.60 3041026 T 3505176.14 0041031 F
1 454835.60 3041026 T 454835.60 3041026 T
1 454835.60 3041026 T 2777320.44 1036016 F
1 454835.60 3041026 T 3628538.89 2036026 F
1 454835.60 3041026 T 2821333.67 3041031 T
1 454835.60 3041026 T 3628538.89 2036026 F
1 454835.60 3041026 T 3247576.80 2056026 F
1 454835.60 3041026 T 4669134.00 2061031 F
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 3268474.40 0036031 F
1 454835.60 3041026 T 3058865.50 2031031 F
1 454835.60 3041026 T 1862259.20 0051021 F
1 454835.60 3041026 T 4057232.67 1036026 F
1 454835.60 3041026 T 2769126.67 3031021 T
1 454835.60 3041026 T 456747.60 3046026 T
1 454835.60 3041026 T 2825604.17 3056036 F
1 454835.60 3041026 T 456747.60 3046026 T
1 454835.60 3041026 T 455836.80 3036031 T
1 454835.60 3041026 T 452797.20 0046031 F
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 2769560.44 3021016 F
1 454835.60 3041026 T 1660779.33 1046021 F
1 454835.60 3041026 T 1650619.33 1041011 F
1 454835.60 3041026 T 1620961.33 0041016 F
1 454835.60 3041026 T 1649455.67 3051021 F
1 454835.60 3041026 T 456743.20 3056021 T
1 454835.60 3041026 T 1862259.20 0051021 F
1 454835.60 3041026 T 3062097.75 2041031 F
1 454835.60 3041026 T 457002.00 3046021 F
1 454835.60 3041026 T 3066829.50 0041036 F
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 3239674.80 0041026 F
1 454835.60 3041026 T 2785680.00 0046021 F
1 454835.60 3041026 T 455836.80 3036031 T
1 454835.60 3041026 T 3062097.75 2041031 F
1 454835.60 3041026 T 3239252.40 1051026 F
1 454835.60 3041026 T 3239252.40 1051026 F
1 454835.60 3041026 T 454835.60 3041026 T
1 454835.60 3041026 T 1647209.33 3041011 T
1 454835.60 3041026 T 3670879.54 2046026 T
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 3637556.44 2041021 F
1 454835.60 3041026 T 3268474.40 0036031 F
1 454835.60 3041026 T 3505176.14 0041031 F
1 454835.60 3041026 T 2779610.22 2046021 F
1 454835.60 3041026 T 451661.60 3051031 F
1 454835.60 3041026 T 451661.60 3051031 F
1 454835.60 3041026 T 3060719.50 2036016 F
1 454835.60 3041026 T 457910.00 3046036 F
1 454835.60 3041026 T 2776775.33 2036021 F
1 454835.60 3041026 T 3025469.09 2061021 F
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 451661.60 3051031 F
1 454835.60 3041026 T 456074.40 3046041 F
1 454835.60 3041026 T 456743.20 3056021 T
1 454835.60 3041026 T 3505176.14 0041031 F
1 454835.60 3041026 T 1609675.00 3051011 T
1 3307172.60 3016026 T 3307172.60 3016026 T
1 3307172.60 3016026 T 4665478.00 1001016 F
1 3307172.60 3016026 T 3304499.60 3016031 F
1 3307172.60 3016026 T 4667171.60 2011021 F
1 3307172.60 3016026 T 3217672.40 3006026 F
1 3307172.60 3016026 T 4636852.40 2016031 F
1 3307172.60 3016026 T 2765271.78 3026016 T
1 3307172.60 3016026 T 4344611.11 3011021 F
1 3307172.60 3016026 T 3245828.40 3021026 T
1 3307172.60 3016026 T 3245987.20 1016011 F
1 3307172.60 3016026 T 4346154.00 3011026 F
1 3307172.60 3016026 T 4659272.40 1011026 F
1 3307172.60 3016026 T 4677724.40 0026011 F
1 3307172.60 3016026 T 4365684.44 1006036 F
1 3307172.60 3016026 T 4347660.67 3001026 F
1 3307172.60 3016026 T 4642101.20 0021041 F
1 3307172.60 3016026 T 4065198.67 2011026 F
1 3307172.60 3016026 T 4053865.33 2016026 F
